,taglia,colore,prezzo
0,S,bianco,4.99
1,M,bianco,19.99
2,XL,bianco,12.49
3,XL,bianco,14.99
4,S,bianco,14.99
5,S,verde,7.99
6,M,verde,4.99
7,L,verde,12.49
8,XL,bianco,12.49
9,M,verde,19.99
10,L,bianco,14.99
11,XL,bianco,19.99
12,M,bianco,4.99
13,L,bianco,7.99
14,M,bianco,14.99
15,XL,rosso,9.99
16,S,rosso,12.49
17,L,bianco,7.99
18,XL,bianco,4.99
19,M,verde,14.99
20,S,verde,14.99
21,XL,bianco,7.99
22,S,verde,9.99
23,XL,bianco,14.99
24,S,rosso,14.99
25,XL,bianco,9.99
26,M,verde,7.99
27,XL,bianco,4.99
28,S,verde,14.99
29,L,bianco,12.49
30,M,rosso,9.99
31,L,verde,9.99
32,XL,rosso,7.99
33,M,bianco,19.99
34,L,verde,12.49
35,L,bianco,12.49
36,L,bianco,9.99
37,XL,bianco,14.99
38,L,verde,14.99
39,XL,verde,9.99
40,M,bianco,14.99
41,L,verde,19.99
42,XL,verde,7.99
43,M,verde,19.99
44,L,rosso,19.99
45,XL,bianco,9.99
46,M,rosso,12.49
47,S,bianco,7.99
48,S,rosso,14.99
49,S,verde,12.49
50,XL,bianco,19.99
51,S,verde,14.99
52,S,bianco,19.99
53,M,verde,9.99
54,L,verde,4.99
55,M,verde,12.49
56,L,bianco,12.49
57,S,verde,7.99
58,S,verde,19.99
59,L,bianco,9.99
60,XL,rosso,14.99
61,M,bianco,12.49
62,XL,bianco,14.99
63,L,bianco,9.99
64,XL,verde,14.99
65,L,bianco,12.49
66,XL,bianco,4.99
67,L,bianco,14.99
68,L,verde,9.99
69,S,rosso,14.99
70,S,rosso,19.99
71,XL,rosso,14.99
72,S,bianco,9.99
73,S,rosso,14.99
74,L,bianco,9.99
75,XL,bianco,9.99
76,L,verde,19.99
77,XL,bianco,19.99
78,M,bianco,4.99
79,M,bianco,9.99
80,S,bianco,14.99
81,L,bianco,19.99
82,S,verde,7.99
83,XL,verde,9.99
84,M,bianco,12.49
85,L,verde,4.99
86,M,bianco,7.99
87,M,rosso,14.99
88,S,rosso,9.99
89,M,verde,4.99
90,M,bianco,12.49
91,M,rosso,14.99
92,L,verde,19.99
93,M,rosso,7.99
94,S,verde,4.99
95,L,bianco,9.99
96,M,verde,14.99
97,S,rosso,12.49
98,L,rosso,12.49
99,S,rosso,19.99
